Operator Name,Box Code,Barcode,Item Code,Timestamp
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:11
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:11
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:12
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:13
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:13
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:13
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:13
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:14
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:15
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:16
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:16
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:17
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:18
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:19
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:19
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:20
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:20
iqrar,TR-0101371-1,RTO8000469,,2025-09-29 09:45:21
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:29
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:40
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:40
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:41
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:41
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:42
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:42
iqrar,PLT0992,PLT0992,,2025-09-29 09:45:42
iqrar,TOT099,RTO8004749,RTO8004749,2025-09-29 09:46:54
iqrar,TOT099,3001000032540,https://rinafashion.com/rn_en/,2025-09-29 09:47:15
iqrar,TOT099,3001000032540,https://rinafashion.com/rn_en/,2025-09-29 09:47:17
iqrar,TOT099,3001000032540,https://rinafashion.com/rn_en/,2025-09-29 09:47:20
iqrar,TOT099,3001000032540,https://rinafashion.com/rn_en/,2025-09-29 09:47:21
iqrar,TOT099,3001000032540,https://rinafashion.com/rn_en/,2025-09-29 09:47:22
